Functional Loc,FLOC Type,Description,SupFunctLoc,SupFL Description,ABC Indic,Criticality Justification,PSRef,PSRef2,NEW PS Ref.,NEW PS Ref. 2,NL SCE
GROV-P-WHSS-WSTREC-18GS510A1O,U_SWITCH,GS 18-XV-510 Position Switch A Open,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHSS-WSTREC-18GS510AC,U_SWITCH,GS 18-XV-510 Position Switch A Closed,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHSS-WSTREC-18GS510BC,U_SWITCH,GS 18-XV-510 Position Switch B Closed,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHSS-WSTREC-18GS510BO,U_SWITCH,GS 18-XV-510 Position Switch B Open,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHSS-WSTREC-18HS510,U_SWITCH,HS 18-XV-501,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHSS-WSTREC-18TT502,U_TRANS,TT Process Gas,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTREC-18TW502,U_MISC,TW Thermo Well 18-TT-502,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTREC-18XV510,U_SDV,SDV Process Gas from Subsea Wellhead,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHSS-WSTREC-V020045,U_VA,"6"" Ball Valve - SPEC:",GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTREC-V090069,U_VA,Block and Bleed Valve - SPEC:,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTREC-V090070,U_VA,Block and Bleed Valve - SPEC:,GROV-P-WHSS-WSTREC,Gas Receiving at  Grove Platform,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTTCV,U_FLOC,Topside Choke Valve,GROV-P-WHSS-WST,Grove West Well (18-WA-501),K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTTCV-18FCV504,U_CVA,Platform Choke Valve Grove West Well,GROV-P-WHSS-WSTTCV,Topside Choke Valve,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTTCV-18GS504,U_SWITCH,GS 18-FCV-504 Position Switch,GROV-P-WHSS-WSTTCV,Topside Choke Valve,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTTCV-18GT504,U_TRANS,GS 18-FCV-504 Position Transmitter,GROV-P-WHSS-WSTTCV,Topside Choke Valve,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTTCV-18HVC504,U_SWITCH,HCV 18-FCV-504,GROV-P-WHSS-WSTTCV,Topside Choke Valve,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,K
GROV-P-WHSS-WSTV23,U_FLOC,HIPPS 2oo3 Grove West Well,GROV-P-WHSS-WST,Grove West Well (18-WA-501),I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements,,,SECE02,,I
GROV-P-WHSS-WSTV23-18PG503,U_GAUGE,PG Process Gas,GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTV23-18PT510A,U_TRANS,PT HIPPS,GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements,,,SECE02,,I
GROV-P-WHSS-WSTV23-18PT510B,U_TRANS,PT HIPPS,GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements,,,SECE02,,I
GROV-P-WHSS-WSTV23-18PT510C,U_TRANS,PT HIPPS,GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements,,,SECE02,,I
GROV-P-WHSS-WSTV23-V090071,U_VA,"2"" Block and Bleed Valve - SPEC:",GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTV23-V090072,U_VA,"2"" Block and Bleed Valve - SPEC:",GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTV23-V090073,U_VA,"2"" Block and Bleed Valve - SPEC:",GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHSS-WSTV23-V090100,U_VA,"2"" Block and Bleed Valve - SPEC:",GROV-P-WHSS-WSTV23,HIPPS 2oo3 Grove West Well,K,Inherited from System 'GROV-P-WHSS' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM,U_FLOC,X-mas Tree,GROV-P-WH,Wellhead Systems,I,System Analysed Criticality Result,G-PS01,,SECE01,,I
GROV-P-WHXM-W01,U_WELL,13-WA-101 Well 101,GROV-P-WHXM,X-mas Tree,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS,U_WELL,X-Mas Tree Casing 13-WA-101 Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PG101,U_GAUGE,PG Inner Annulus Casing Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PG102,U_GAUGE,PG Middle Annulus Casing Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PG103,U_GAUGE,PG Top Section Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PT101,U_TRANS,PT Inner Annulus Casing Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PT102,U_TRANS,PT Middle Annulus Casing Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-13PT103,U_TRANS,PT Top Section Well 101,GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1004,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1005,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1006,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1007,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1008,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CAS-HOV1009,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01CAS,X-Mas Tree Casing 13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01CHV,U_WELL,Choke Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01CHV-13FCV104,U_CVA,FCV Choke Valve Well 101,GROV-P-WHXM-W01CHV,Choke Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01CHV-13GS104,U_SWITCH,GS Choke Valve O/C Ind Well 101,GROV-P-WHXM-W01CHV,Choke Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01CHV-13GT104,U_TRANS,GT Choke Valve Pos. Transmitter Well 101,GROV-P-WHXM-W01CHV,Choke Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01CHV-13TT102,U_TRANS,TT Upstream Choke Valve Well 101,GROV-P-WHXM-W01CHV,Choke Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01CHV-13TW102,U_THERMO,TW Upstream Choke Valve Well 101,GROV-P-WHXM-W01CHV,Choke Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01FLL,U_WELL,Flow Line Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01FLL-13PT106,U_TRANS,PT Flowline Well 101,GROV-P-WHXM-W01FLL,Flow Line Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01FLL-13TT101,U_TRANS,TT Flowline Well 101,GROV-P-WHXM-W01FLL,Flow Line Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01INJ,U_WELL,Methanol / Kill Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01INJ-HOV1002,U_VA,"Methanol / Kill Valve - 2 1/16"" Well 101",GROV-P-WHXM-W01INJ,Methanol / Kill Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01MAV,U_WELL,Master Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01MAV-13GS102,U_SWITCH,GS Upper Master Valve O / C Ind Well 101,GROV-P-WHXM-W01MAV,Master Valve Well 101,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,I
GROV-P-WHXM-W01MAV-13XV102,U_VA,XV Upper Master Valve Well 101,GROV-P-WHXM-W01MAV,Master Valve Well 101,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W01MAV-HOV1003,U_VA,Lower Master Valve Well 101,GROV-P-WHXM-W01MAV,Master Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01MET,U_WELL,Flow Metering Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13FE104,U_FLOW,FE Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13PDT104,U_TRANS,PDT Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13PG105,U_GAUGE,PG After Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13PT104,U_TRANS,PT Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13TT104,U_TRANS,TT Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01MET-13TW104,U_THERMO,TW Venturi Flow Meter Well 101,GROV-P-WHXM-W01MET,Flow Metering Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01OTM,U_WELL,Output to Manifold Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W01OTM-V090133,U_VA,Double Block and Bleed Manifold Well 101,GROV-P-WHXM-W01OTM,Output to Manifold Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01SSV,U_WELL,Sub Service Safety Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01SSV-13XV101,U_SDV,XV Sub Service Safety Valve Well 101,GROV-P-WHXM-W01SSV,Sub Service Safety Valve Well 101,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W01SWV,U_WELL,Swap Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01SWV-HOV1001,U_VA,Swab Valve Well 101,GROV-P-WHXM-W01SWV,Swap Valve Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01WIV,U_WELL,Wing Valve Well 101,GROV-P-WHXM-W01,13-WA-101 Well 101,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W01WIV-13GS103,U_SWITCH,GS Wing Valve O/C Ind Well 101,GROV-P-WHXM-W01WIV,Wing Valve Well 101,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHXM-W01WIV-13XV103,U_VA,XV Wing Valve Well 101,GROV-P-WHXM-W01WIV,Wing Valve Well 101,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W02,U_WELL,13-WA-201 Well 201,GROV-P-WHXM,X-mas Tree,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS,U_WELL,X-Mas Tree Casing 13-WA-201 Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-13PG201,U_GAUGE,PG Inner Annulus Casing Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-13PG202,U_GAUGE,PG Middle Annulus Casing Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CAS-13PG203,U_GAUGE,PG Top Section Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-13PT201,U_TRANS,PT Inner Annulus Casing Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-13PT202,U_TRANS,PT Middle Annulus Casing Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-13PT203,U_TRANS,PT Top Section Well 201,GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2004,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2005,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2006,U_VA,"Inner Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2007,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2008,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CAS-HOV2009,U_VA,"Middle Ann. Dr. Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02CAS,X-Mas Tree Casing 13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02CHV,U_WELL,Choke Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CHV-13FCV204,U_CVA,FCV Choke Valve Well 201,GROV-P-WHXM-W02CHV,Choke Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CHV-13GS204,U_SWITCH,GS Choke Valve O/C Ind Well 201,GROV-P-WHXM-W02CHV,Choke Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CHV-13GT204,U_TRANS,GT Choke Valve Pos. Transmitter Well 201,GROV-P-WHXM-W02CHV,Choke Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CHV-13TT202,U_TRANS,TT Upstream Choke Valve Well 201,GROV-P-WHXM-W02CHV,Choke Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02CHV-13TW202,U_THERMO,TW Upstream Choke Valve Well 201,GROV-P-WHXM-W02CHV,Choke Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02FLL,U_WELL,Flow Line Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02FLL-13PT206,U_TRANS,PT Flowline Well 201,GROV-P-WHXM-W02FLL,Flow Line Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02FLL-13TT201,U_TRANS,TT Flowline Well 201,GROV-P-WHXM-W02FLL,Flow Line Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02INJ,U_WELL,Methanol / Kill Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02INJ-HOV2002,U_VA,"Methanol / Kill Valve - 2 1/16"" Well 201",GROV-P-WHXM-W02INJ,Methanol / Kill Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02MAV,U_WELL,Master Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02MAV-13GS202,U_SWITCH,GS Upper Master Valve O / C Ind Well 201,GROV-P-WHXM-W02MAV,Master Valve Well 201,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHXM-W02MAV-13XV202,U_VA,XV Upper Master Valve Well 201,GROV-P-WHXM-W02MAV,Master Valve Well 201,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W02MAV-HOV2003,U_VA,Lower Master Valve Well 201,GROV-P-WHXM-W02MAV,Master Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02MET,U_WELL,Flow Metering Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13FE204,U_FLOW,FE Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13PDT204,U_TRANS,PDT Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13PG205,U_GAUGE,PG After Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13PT204,U_TRANS,PT Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13TT204,U_TRANS,TT Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02MET-13TW204,U_THERMO,TW Venturi Flow Meter Well 201,GROV-P-WHXM-W02MET,Flow Metering Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,L
GROV-P-WHXM-W02OTM,U_WELL,Output to Manifold Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02OTM-V090134,U_VA,Double Block and Bleed Manifold Well 201,GROV-P-WHXM-W02OTM,Output to Manifold Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02SSV,U_WELL,Sub Service Safety Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02SSV-13XV201,U_SDV,XV Sub Service Safety Valve Well 201,GROV-P-WHXM-W02SSV,Sub Service Safety Valve Well 201,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W02SWV,U_WELL,Swap Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02SWV-HOV2001,U_VA,Swab Valve Well 201,GROV-P-WHXM-W02SWV,Swap Valve Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02WIV,U_WELL,Wing Valve Well 201,GROV-P-WHXM-W02,13-WA-201 Well 201,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W02WIV-13GS203,U_SWITCH,GS Wing Valve O/C Ind Well 201,GROV-P-WHXM-W02WIV,Wing Valve Well 201,N,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; Associated Equipment of ESDV/BDV to be N with the exception of solenoids,,,,,N
GROV-P-WHXM-W02WIV-13XV203,U_VA,XV Wing Valve Well 201,GROV-P-WHXM-W02WIV,Wing Valve Well 201,I,SCE Results in Agreement,G-PS06,,SECE02,,I
GROV-P-WHXM-W03,U_WELL,13-WA-301 Well 301,GROV-P-WHXM,X-mas Tree,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W03CAS,U_WELL,X-Mas Tree Casing 13-WA-301 Well 301,GROV-P-WHXM-W03,13-WA-301 Well 301,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
GROV-P-WHXM-W03CAS-13PG301,U_GAUGE,PG Inner Annulus Casing Well 301,GROV-P-WHXM-W03CAS,X-Mas Tree Casing 13-WA-301 Well 301,L,Inherited from System 'GROV-P-WHXM' Production Focussed Criticality Result,,,,,I
